xRGB,yRGB,R,G,B
0.056,12.724,34.000,219.000,168.000
3.375,0.665,22.000,120.000,147.000
12.996,14.900,191.000,57.000,221.000
14.946,7.992,215.000,62.000,164.000
18.363,4.226,139.000,28.000,228.000
6.332,16.286,16.000,11.000,13.000
3.022,4.886,186.000,245.000,104.000
-0.362,11.394,201.000,73.000,146.000
14.680,9.220,45.000,17.000,115.000
2.055,1.708,240.000,54.000,124.000
0.161,11.361,213.000,53.000,130.000
17.606,17.872,79.000,31.000,0.000
3.272,12.181,139.000,212.000,244.000
3.637,9.346,115.000,239.000,184.000
7.696,8.865,236.000,62.000,173.000
8.032,0.709,38.000,15.000,211.000
12.224,16.038,64.000,97.000,125.000
12.392,6.068,129.000,101.000,198.000
1.709,9.742,82.000,65.000,171.000
1.952,3.306,203.000,89.000,52.000
10.802,3.362,133.000,80.000,94.000
4.789,14.966,49.000,193.000,130.000
12.133,4.738,4.000,145.000,115.000
4.679,6.293,91.000,222.000,48.000
5.638,17.869,252.000,28.000,254.000
12.892,5.884,186.000,118.000,121.000
8.620,16.693,131.000,84.000,223.000
7.332,11.197,150.000,66.000,125.000
4.296,5.344,189.000,165.000,111.000
5.810,15.687,43.000,14.000,12.000
3.272,15.857,198.000,173.000,10.000
15.794,7.223,64.000,71.000,178.000
2.639,1.769,33.000,87.000,229.000
12.906,11.768,31.000,72.000,133.000
5.275,0.231,144.000,197.000,59.000
9.859,7.706,151.000,12.000,99.000
9.670,14.755,0.000,251.000,119.000
19.370,9.334,95.000,196.000,28.000
9.904,-0.398,46.000,163.000,89.000
1.714,11.234,154.000,226.000,174.000
17.980,11.099,203.000,86.000,228.000
18.106,-0.358,45.000,68.000,18.000
13.954,11.099,151.000,218.000,180.000
7.116,5.841,219.000,12.000,47.000
2.341,2.020,235.000,7.000,107.000
11.327,17.247,131.000,101.000,21.000
12.314,-0.339,217.000,208.000,169.000
9.112,9.745,248.000,161.000,152.000
1.756,8.619,167.000,254.000,53.000
4.201,10.732,109.000,251.000,40.000
8.345,6.823,118.000,201.000,73.000
18.122,1.181,23.000,185.000,121.000
6.944,12.632,99.000,99.000,192.000
17.819,14.997,112.000,33.000,87.000
15.955,17.869,85.000,52.000,182.000
3.775,0.046,5.000,23.000,134.000
8.317,9.314,251.000,12.000,191.000
2.714,11.779,124.000,228.000,240.000
12.140,9.880,181.000,152.000,93.000
18.226,18.199,106.000,46.000,2.000
12.173,18.124,237.000,24.000,223.000
10.924,3.982,142.000,194.000,132.000
15.629,3.688,92.000,56.000,185.000
14.949,5.171,116.000,51.000,111.000
18.703,16.624,23.000,253.000,82.000
2.143,9.908,90.000,80.000,179.000
10.971,16.161,213.000,242.000,252.000
3.347,8.611,222.000,220.000,21.000
18.294,5.968,102.000,241.000,131.000
7.749,0.867,13.000,11.000,198.000
7.309,5.783,237.000,11.000,5.000
6.200,2.807,44.000,48.000,148.000
3.769,2.660,8.000,213.000,123.000
14.396,1.284,52.000,117.000,205.000
5.777,10.355,53.000,156.000,155.000
3.008,2.904,105.000,99.000,79.000
17.310,7.109,56.000,152.000,19.000
4.107,9.744,172.000,89.000,36.000
4.157,2.079,220.000,63.000,12.000
9.646,16.862,27.000,104.000,118.000
7.878,5.723,103.000,92.000,55.000
8.649,16.033,116.000,35.000,122.000
6.818,4.124,233.000,75.000,88.000
16.785,7.006,17.000,154.000,1.000
15.112,6.825,171.000,174.000,131.000
