xIris,yIris,R,G,B
3.776,4.331,0.000,255.000,0.000
4.758,3.208,0.000,255.000,0.000
4.695,3.350,0.000,255.000,0.000
4.373,2.204,0.000,255.000,0.000
4.929,0.973,0.000,255.000,0.000
3.141,2.168,0.000,255.000,0.000
4.171,1.291,0.000,255.000,0.000
5.249,3.212,0.000,255.000,0.000
3.650,0.930,0.000,255.000,0.000
2.355,2.139,0.000,255.000,0.000
4.130,1.285,0.000,255.000,0.000
5.295,0.633,0.000,255.000,0.000
4.825,1.309,0.000,255.000,0.000
4.013,3.341,0.000,255.000,0.000
1.875,1.928,0.000,255.000,0.000
4.004,0.908,0.000,255.000,0.000
5.012,4.364,0.000,0.000,255.000
3.630,4.209,0.000,0.000,255.000
4.751,3.678,0.000,0.000,255.000
4.982,4.191,0.000,0.000,255.000
4.924,4.206,0.000,0.000,255.000
4.977,4.229,0.000,0.000,255.000
4.191,0.821,0.000,0.000,255.000
4.907,3.807,0.000,0.000,255.000
4.723,3.775,0.000,0.000,255.000
5.292,4.732,0.000,0.000,255.000
3.772,3.857,0.000,0.000,255.000
3.647,4.120,0.000,0.000,255.000
4.908,4.023,0.000,0.000,255.000
4.128,2.726,0.000,0.000,255.000
3.800,2.618,0.000,0.000,255.000
4.053,3.724,0.000,0.000,255.000
4.973,4.287,0.000,0.000,255.000
4.791,4.980,0.000,0.000,255.000
5.126,3.655,0.000,0.000,255.000
4.368,3.023,0.000,0.000,255.000
4.923,3.692,0.000,0.000,255.000
4.104,3.123,0.000,0.000,255.000
4.929,3.910,0.000,0.000,255.000
3.693,3.147,0.000,0.000,255.000
5.020,5.228,0.000,0.000,255.000
4.654,4.204,0.000,0.000,255.000
4.287,2.852,0.000,0.000,255.000
4.296,3.363,0.000,0.000,255.000
4.140,3.864,0.000,0.000,255.000
4.789,4.128,0.000,0.000,255.000
4.971,3.785,0.000,0.000,255.000
5.041,4.929,0.000,0.000,255.000
3.757,4.125,0.000,0.000,255.000
4.183,3.078,0.000,0.000,255.000
4.005,2.608,0.000,0.000,255.000
4.630,5.041,0.000,0.000,255.000
3.852,4.651,0.000,0.000,255.000
4.068,3.930,0.000,0.000,255.000
3.655,2.090,0.000,0.000,255.000
3.916,4.385,0.000,0.000,255.000
3.890,5.193,0.000,0.000,255.000
4.333,4.742,0.000,0.000,255.000
3.736,3.390,0.000,0.000,255.000
4.825,4.884,0.000,0.000,255.000
3.882,5.230,0.000,0.000,255.000
4.206,3.706,0.000,0.000,255.000
4.141,2.747,0.000,0.000,255.000
3.890,4.393,0.000,0.000,255.000
4.293,4.728,0.000,0.000,255.000
4.093,2.745,0.000,0.000,255.000
